age_group,gender,college_year,monthly_budget_range,monthly_budget_exact,income_source,primary_upi_app,weekly_tx_range,weekly_tx_count,pct_unplanned,impulse_time,balance_check_habit,trigger_boredom,trigger_fomo,trigger_latenight,trigger_cashback,trigger_stress_relief,trigger_scarcity_notif,trigger_cart_abandon,trigger_exam_season,regret_frequency,regret_categories,regret_other_text,post_regret_action,regret_intensity,hidden_purchase,tracks_expenses,ran_out_of_money,perceives_upi_risky,upi_usage_reason,regret_description,respondent_id
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),1500.0,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),,Less than 20% (its a lie),Evening,Never (Pls check it for yourself),1,1,1,1,3,2,1,1,Never,"Subscriptions (Netflix, Spotify, Prime)",,Accept it or move on (aaj tak nahi huva),4,Yes (don't worry many of us does),"No, I need some surprise in life",Rarely,Yes,I feel comfortable using UPI,,3000
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2000.0,100% Parents Money,PhonePe,15+ (You are the reason companies are profitable ),,40-60% (Mostly it on the food),Evening;Late Night (10PM - 2AM),Sometimes (When I remember I'm poor),2,2,3,1,2,1,1,4,1-2 times,"Food delivery (Swiggy / Zomato);Blinkit / Instamart;Online shopping (Myntra, Meesho, Amazon, Flipkart)",,Accept it or move on (aaj tak nahi huva),6,Yes (don't worry many of us does),I am scared of what I'll find,Rarely,Yes,I feel comfortable using UPI,,3001
18-21,Female,Ug,₹3000 - ₹6000 (I need to go out of this campus),2231.0,100% Parents Money,PhonePe,15+ (You are the reason companies are profitable ),20.0,40-60% (Mostly it on the food),Evening;Late Night (10PM - 2AM);Post Midnight,Rarely (Assuming account is full of money),4,5,5,4,4,3,2,5,10+ (Lost the count),"Food delivery (Swiggy / Zomato);Blinkit / Instamart;Online shopping (Myntra, Meesho, Amazon, Flipkart)",,See my expense and feel worse (No place for move on),8,Yes (don't worry many of us does),"I try, but give up by one or two week (Relatable)","Yes, regularly",Yes,I feel comfortable using UPI,I bought two of trousers from mall after seeing buy two and get 200 off,3002
18-21,Female,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2000.0,100% Parents Money,PhonePe,4-7 (Okay this is reasonable ),,20-40% (Understandable),Morning;Afternoon;Evening,Never (Pls check it for yourself),1,1,1,1,1,3,3,2,1-2 times,Food delivery (Swiggy / Zomato);Blinkit / Instamart;Gadgets / Accessories;In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),3,No (we don't believe),"No, I need some surprise in life",Never (teach us your ways),I never taught about this,I feel comfortable using UPI,,3003
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),1200.0,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),6.0,20-40% (Understandable),Evening,"I check, feel sad, and buy anyway",3,4,3,1,4,1,1,1,1-2 times,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),3,Yes (don't worry many of us does),Yes (I use an app or diary for it),Never (teach us your ways),Yes,I am afraid that I might lose cash.,"Snacks for this weekend to eat and chill watching ""stuff"". I don't usually spend much, but I do think twice (hesitant) before most of the unnecessary payments I do. Nothing specific madee click pay, I just went with the impulse.",3004
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),1500.0,100% Parents Money,Navi UPI,4-7 (Okay this is reasonable ),5.0,Less than 20% (its a lie),Evening,Sometimes (When I remember I'm poor),1,1,1,2,2,1,1,1,1-2 times,Food delivery (Swiggy / Zomato);Other,,Accept it or move on (aaj tak nahi huva),3,Yes (don't worry many of us does),Yes (I use an app or diary for it),Rarely,No,I feel comfortable using UPI,,3005
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,Google Pay (GPay),8-15 (The apps know your face by now),,Less than 20% (its a lie),Morning;Late Night (10PM - 2AM),Sometimes (When I remember I'm poor),1,1,1,1,5,1,1,5,1-2 times,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),2,No (we don't believe),Yes (I use an app or diary for it),Rarely,No,I feel comfortable using UPI,,3006
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),,40-60% (Mostly it on the food),Afternoon;Evening,Sometimes (When I remember I'm poor),1,2,1,3,4,1,1,1,3-5 times,Blinkit / Instamart,,Accept it or move on (aaj tak nahi huva),4,No (we don't believe),"I try, but give up by one or two week (Relatable)","Yes, Occasionally",Yes,Because shops does not accept cash,,3007
18-21,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),,Less than 20% (its a lie),Afternoon,Sometimes (When I remember I'm poor),1,1,1,1,1,1,1,3,1-2 times,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),2,No (we don't believe),"No, I need some surprise in life","Yes, Occasionally",No,I feel comfortable using UPI,,3008
18-21,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),,100% Parents Money,Google pay as well as Paytm ,8-15 (The apps know your face by now),10.0,Less than 20% (its a lie),Evening,Sometimes (When I remember I'm poor),1,3,1,2,1,3,1,2,3-5 times,Food delivery (Swiggy / Zomato);In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),1,No (we don't believe),"I try, but give up by one or two week (Relatable)",Rarely,No,The fear of leaving the wallet somewhere by mistake or the fear of shopkeeper rejecting paper money due to lack of change.,,3009
Under 18,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),3500.0,100% Parents Money,Google Pay (GPay),15+ (You are the reason companies are profitable ),24.0,20-40% (Understandable),Evening,Sometimes (When I remember I'm poor),1,1,1,2,3,3,1,1,1-2 times,Food delivery (Swiggy / Zomato);Blinkit / Instamart;In college cafe's and normal shops,Like when i buy food items unnecessarily when i can avoid them ,Accept it or move on (aaj tak nahi huva),2,Yes (don't worry many of us does),Yes (I use an app or diary for it),"Yes, Occasionally",Yes,Because shops does not accept cash,Not particular but sometimes i order patties and samosa from my cafe which i can avoid . My hunger forced me to pay,3010
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,Paytm,8-15 (The apps know your face by now),,40-60% (Mostly it on the food),Late Night (10PM - 2AM),Rarely (Assuming account is full of money),1,2,1,2,1,2,2,2,Never,Food delivery (Swiggy / Zomato),,Buy Something else to feel better,3,Maybe (don't want to accept it),I am scared of what I'll find,"Yes, regularly",Yes,I feel comfortable using UPI,,3011
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,Paytm,8-15 (The apps know your face by now),,40-60% (Mostly it on the food),Late Night (10PM - 2AM),Never (Pls check it for yourself),1,2,1,2,1,1,2,1,1-2 times,Food delivery (Swiggy / Zomato),,Buy Something else to feel better,3,Maybe (don't want to accept it),I am scared of what I'll find,"Yes, regularly",Yes,I feel comfortable using UPI,,3012
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),1800.0,100% Parents Money,Google Pay (GPay),1-3 (No comments),3.0,20-40% (Understandable),Evening,Never (Pls check it for yourself),1,1,1,1,3,1,1,1,Never,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),1,Yes (don't worry many of us does),"No, I need some surprise in life","Yes, Occasionally",Yes,I feel comfortable using UPI,,3013
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2000.0,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),,20-40% (Understandable),Late Night (10PM - 2AM),Never (Pls check it for yourself),3,3,3,4,2,4,2,4,3-5 times,"Food delivery (Swiggy / Zomato);Blinkit / Instamart;Online shopping (Myntra, Meesho, Amazon, Flipkart);Subscriptions (Netflix, Spotify, Prime)",,Accept it or move on (aaj tak nahi huva),6,No (we don't believe),"I try, but give up by one or two week (Relatable)",Rarely,Yes,I feel comfortable using UPI,,3014
18-21,Female,Ug,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),,100% Parents Money,Paytm,1-3 (No comments),,20-40% (Understandable),Evening,Sometimes (When I remember I'm poor),1,1,1,1,1,1,1,1,Never,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),1,Yes (don't worry many of us does),Yes (I use an app or diary for it),Never (teach us your ways),Yes,Because shops does not accept cash,,3015
Under 18,Female,Ug,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),,100% Parents Money,PhonePe,1-3 (No comments),,Less than 20% (its a lie),Evening,Always (I am disciplined and boring),1,1,1,2,3,1,2,1,1-2 times,Food delivery (Swiggy / Zomato),,Accept it or move on (aaj tak nahi huva),10,No (we don't believe),Yes (I use an app or diary for it),Rarely,No,I feel comfortable using UPI,,3016
18-21,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),4500.0,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),6.0,Less than 20% (its a lie),Evening,Always (I am disciplined and boring),1,1,1,3,1,1,1,1,1-2 times,Food delivery (Swiggy / Zomato);Blinkit / Instamart;In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),3,,Yes (I use an app or diary for it),Rarely,Yes,I feel comfortable using UPI,,3017
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,Paytm,4-7 (Okay this is reasonable ),,20-40% (Understandable),Evening;Late Night (10PM - 2AM),"I check, feel sad, and buy anyway",1,1,3,4,3,1,1,4,5-10 times,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),7,Yes (don't worry many of us does),Yes (I use an app or diary for it),Rarely,Yes,I am afraid that I might lose cash.,,3018
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2500.0,100% Parents Money,PhonePe,4-7 (Okay this is reasonable ),7.0,Less than 20% (its a lie),Evening,Sometimes (When I remember I'm poor),1,1,1,1,1,1,1,4,1-2 times,In college cafe's and normal shops,,See my expense and feel worse (No place for move on),7,No (we don't believe),Yes (I use an app or diary for it),"Yes, regularly",I never taught about this,I feel comfortable using UPI,,3019
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2000.0,I have an internship / part-time job,Google Pay (GPay),15+ (You are the reason companies are profitable ),28.0,Less than 20% (its a lie),Evening,Never (Pls check it for yourself),1,1,1,4,1,1,1,1,3-5 times,Food delivery (Swiggy / Zomato);Blinkit / Instamart,,Accept it or move on (aaj tak nahi huva),1,No (we don't believe),"No, I need some surprise in life",Rarely,Yes,I feel comfortable using UPI,,3020
Under 18,Male,Ug,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),,100% Parents Money,Bhim UPI,1-3 (No comments),,40-60% (Mostly it on the food),Evening,Never (Pls check it for yourself),1,3,1,1,1,1,1,1,3-5 times,Food delivery (Swiggy / Zomato);Blinkit / Instamart;In college cafe's and normal shops,,See my expense and feel worse (No place for move on),7,Maybe (don't want to accept it),"I try, but give up by one or two week (Relatable)",Never (teach us your ways),Yes,I feel comfortable using UPI,,3021
22-25,Male,Pg,₹6000+ (Force fully leaving in the college hostel),22000.0,I have an internship / part-time job,Cred,15+ (You are the reason companies are profitable ),,20-40% (Understandable),Evening,Rarely (Assuming account is full of money),1,1,1,1,2,1,2,2,1-2 times,Food delivery (Swiggy / Zomato),,Accept it or move on (aaj tak nahi huva),4,Maybe (don't want to accept it),"No, I need some surprise in life","Yes, Occasionally",Yes,I feel comfortable using UPI,,3022
22-25,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2500.0,100% Parents Money,Cred,4-7 (Okay this is reasonable ),6.0,20-40% (Understandable),Afternoon;Late Night (10PM - 2AM),Always (I am disciplined and boring),1,3,1,1,2,1,1,5,3-5 times,Food delivery (Swiggy / Zomato);Blinkit / Instamart;In college cafe's and normal shops,,See my expense and feel worse (No place for move on),4,Yes (don't worry many of us does),Yes (I use an app or diary for it),"Yes, Occasionally",Yes,I feel comfortable using UPI,"Most of my expense is for food and groceries, I check mess menu. Than I order food from zomato/swiggy/eatsure",3023
