age_group,gender,college_year,monthly_budget_range,monthly_budget_exact,income_source,primary_upi_app,weekly_tx_range,weekly_tx_count,pct_unplanned,impulse_time,balance_check_habit,trigger_boredom,trigger_fomo,trigger_latenight,trigger_cashback,trigger_stress_relief,trigger_scarcity_notif,trigger_cart_abandon,trigger_exam_season,regret_frequency,regret_categories,regret_other_text,post_regret_action,regret_intensity,hidden_purchase,tracks_expenses,ran_out_of_money,perceives_upi_risky,upi_usage_reason,regret_description,respondent_id
25+ (Senior citizen of college life),Male,Pg,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),,Mix of parents + I earn something on the side,Google Pay (GPay),4-7 (Okay this is reasonable ),,Less than 20% (its a lie),Morning;Afternoon;Evening;Late Night (10PM - 2AM);Post Midnight,Always (I am disciplined and boring),3,3,3,3,3,3,3,3,Never,"Food delivery (Swiggy / Zomato);Blinkit / Instamart;Online shopping (Myntra, Meesho, Amazon, Flipkart);Subscriptions (Netflix, Spotify, Prime);Gaming;Gadgets / Accessories;Courses;In college cafe's and normal shops",,Accept it or move on (aaj tak nahi huva),10,Yes (don't worry many of us does),Yes (I use an app or diary for it),"Yes, regularly",Yes,Because shops does not accept cash,,2000
22-25,Male,Pg,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),,Less than 20% (its a lie),Evening,"I check, feel sad, and buy anyway",2,2,2,2,2,2,2,2,Never,"Online shopping (Myntra, Meesho, Amazon, Flipkart)",,Accept it or move on (aaj tak nahi huva),3,Yes (don't worry many of us does),"I try, but give up by one or two week (Relatable)",Rarely,Yes,No need of waiting for changes just paying what is then bill is done..,,2001
25+ (Senior citizen of college life),Female,Pg,₹6000+ (Force fully leaving in the college hostel),25000.0,Mix of parents + I earn something on the side,Google Pay (GPay),15+ (You are the reason companies are profitable ),30.0,Less than 20% (its a lie),Afternoon,Always (I am disciplined and boring),1,1,1,1,1,1,1,1,Never,Other,,Accept it or move on (aaj tak nahi huva),1,No (we don't believe),Yes (I use an app or diary for it),Never (teach us your ways),No,I feel comfortable using UPI,,2002
18-21,Female,Ug,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,Google Pay (GPay),1-3 (No comments),1.0,40-60% (Mostly it on the food),Morning;Afternoon,Sometimes (When I remember I'm poor),2,3,3,3,3,3,2,2,1-2 times,"Blinkit / Instamart;Online shopping (Myntra, Meesho, Amazon, Flipkart);Gadgets / Accessories",,Accept it or move on (aaj tak nahi huva),6,No (we don't believe),"No, I need some surprise in life",Rarely,Yes,Because shops does not accept cash,,2003
22-25,Female,Pg,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,Google Pay (GPay),8-15 (The apps know your face by now),,Less than 20% (its a lie),Afternoon;Evening,Sometimes (When I remember I'm poor),2,3,1,2,1,2,1,1,3-5 times,Other,,See my expense and feel worse (No place for move on),7,Yes (don't worry many of us does),"I try, but give up by one or two week (Relatable)","Yes, Occasionally",Yes,I feel comfortable using UPI,,2004
18-21,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),,100% Parents Money,Bhim UPI,8-15 (The apps know your face by now),,40-60% (Mostly it on the food),Evening;Late Night (10PM - 2AM),Sometimes (When I remember I'm poor),1,2,2,4,4,2,1,1,1-2 times,"Subscriptions (Netflix, Spotify, Prime);In college cafe's and normal shops",,Accept it or move on (aaj tak nahi huva),3,Yes (don't worry many of us does),"I try, but give up by one or two week (Relatable)","Yes, Occasionally",Yes,I feel comfortable using UPI,,2005
22-25,Female,Pg,₹1000 - ₹3000 (Mess food is not enough for me),2000.0,100% Parents Money,Google Pay (GPay),8-15 (The apps know your face by now),15.0,40-60% (Mostly it on the food),Afternoon;Evening,Rarely (Assuming account is full of money),1,1,1,4,1,1,1,4,1-2 times,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),5,Yes (don't worry many of us does),Yes (I use an app or diary for it),Never (teach us your ways),Yes,I feel comfortable using UPI,"I got myself an aloo paratha. I was feeling kinda hungry and wanted something good to eat that was filling and also tasty. That was why i decide to get the aloo paratha, because it was tasty and pretty filling.",2006
25+ (Senior citizen of college life),Male,Pg,₹6000+ (Force fully leaving in the college hostel),,I run a side hustle / freelance / small business,Google Pay (GPay),8-15 (The apps know your face by now),,40-60% (Mostly it on the food),Evening,Rarely (Assuming account is full of money),4,3,3,4,4,4,4,4,Never,"Food delivery (Swiggy / Zomato);Subscriptions (Netflix, Spotify, Prime);Gadgets / Accessories",,Accept it or move on (aaj tak nahi huva),1,No (we don't believe),"No, I need some surprise in life",Rarely,No,I feel comfortable using UPI,,2007
22-25,Male,Pg,₹6000+ (Force fully leaving in the college hostel),45000.0,100% Parents Money,PhonePe,15+ (You are the reason companies are profitable ),30.0,20-40% (Understandable),Evening,Sometimes (When I remember I'm poor),1,1,1,1,1,1,1,1,1-2 times,Food delivery (Swiggy / Zomato);Blinkit / Instamart,,Accept it or move on (aaj tak nahi huva),3,No (we don't believe),"No, I need some surprise in life","Yes, Occasionally",Yes,I feel comfortable using UPI,,2008
18-21,Female,Ug,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),1000.0,100% Parents Money,Google Pay (GPay),1-3 (No comments),,Less than 20% (its a lie),Morning,Always (I am disciplined and boring),3,3,3,3,3,3,3,3,Never,Food delivery (Swiggy / Zomato),,Accept it or move on (aaj tak nahi huva),5,No (we don't believe),"I try, but give up by one or two week (Relatable)",Rarely,Yes,Because shops does not accept cash,,2009
